Entity,Code,Year,Pregnant women receiving prenatal care (%)
Afghanistan,AFG,2000,36.9
Afghanistan,AFG,2003,16.1
Afghanistan,AFG,2006,30.3
Afghanistan,AFG,2008,36
Afghanistan,AFG,2010,59.6
Afghanistan,AFG,2011,47.9
Afghanistan,AFG,2012,51.2
Afghanistan,AFG,2014,63.2
Afghanistan,AFG,2015,58.6
Afghanistan,AFG,2017,70.2
Afghanistan,AFG,2018,65.2
Albania,ALB,2000,95.3
Albania,ALB,2002,90.6
Albania,ALB,2005,97.1
Albania,ALB,2009,97.3
Albania,ALB,2018,88.4
Algeria,DZA,1992,58
Algeria,DZA,2000,79
Algeria,DZA,2002,80.7
Algeria,DZA,2006,89.4
Algeria,DZA,2012,92.7
Algeria,DZA,2013,92.7
Algeria,DZA,2019,95.3
Angola,AGO,2001,65.6
Angola,AGO,2007,79.8
Angola,AGO,2011,75.7
Angola,AGO,2016,81.6
Antigua and Barbuda,ATG,1998,82
Antigua and Barbuda,ATG,2000,99.9
Antigua and Barbuda,ATG,2002,92
Antigua and Barbuda,ATG,2004,100
Antigua and Barbuda,ATG,2005,99.9
Antigua and Barbuda,ATG,2007,100
Antigua and Barbuda,ATG,2008,100
Argentina,ARG,1993,95
Argentina,ARG,2001,97.5
Argentina,ARG,2005,99.2
Argentina,ARG,2012,98.1
Argentina,ARG,2020,95
Armenia,ARM,1997,82
Armenia,ARM,2000,92.4
Armenia,ARM,2005,93
Armenia,ARM,2010,99.1
Armenia,ARM,2016,99.6
Australia,AUS,1991,100
Australia,AUS,2008,98.3
Austria,AUT,1993,100
Azerbaijan,AZE,1997,98.3
Azerbaijan,AZE,2000,66
Azerbaijan,AZE,2001,70
Azerbaijan,AZE,2006,76.9
Azerbaijan,AZE,2011,91.7
Bahamas,BHS,1999,87
Bahamas,BHS,2006,98
Bahamas,BHS,2007,98
Bahrain,BHR,1995,97.1
Bahrain,BHR,2007,100
Bangladesh,BGD,1994,25.7
Bangladesh,BGD,1997,22.6
Bangladesh,BGD,2000,33.3
Bangladesh,BGD,2001,39.8
Bangladesh,BGD,2003,39.7
Bangladesh,BGD,2004,48.7
Bangladesh,BGD,2006,47.7
Bangladesh,BGD,2007,51.7
Bangladesh,BGD,2010,52.8
Bangladesh,BGD,2011,54.6
Bangladesh,BGD,2013,58.7
Bangladesh,BGD,2014,63.9
Bangladesh,BGD,2018,81.9
Bangladesh,BGD,2019,75.2
Barbados,BRB,1990,100
Barbados,BRB,1999,89
Barbados,BRB,2003,100
Barbados,BRB,2004,100
Barbados,BRB,2005,100
Barbados,BRB,2006,100
Barbados,BRB,2007,100
Barbados,BRB,2012,93.4
Belarus,BLR,1999,99.9
Belarus,BLR,2005,99.4
Belarus,BLR,2012,99.7
Belarus,BLR,2019,99.9
Belize,BLZ,1991,96
Belize,BLZ,1998,98
Belize,BLZ,1999,95.9
Belize,BLZ,2000,100
Belize,BLZ,2002,98
Belize,BLZ,2005,94
Belize,BLZ,2006,94
Belize,BLZ,2011,96.2
Belize,BLZ,2016,97.2
Benin,BEN,1996,77.8
Benin,BEN,2001,81.1
Benin,BEN,2006,84.1
Benin,BEN,2012,83.5
Benin,BEN,2014,82.8
Benin,BEN,2018,83.2
Bhutan,BTN,2000,51
Bhutan,BTN,2007,88
Bhutan,BTN,2010,97.3
Bhutan,BTN,2012,97.9
Bolivia,BOL,1989,49.4
Bolivia,BOL,1994,52.5
Bolivia,BOL,1998,71
Bolivia,BOL,2000,82.6
Bolivia,BOL,2003,79
Bolivia,BOL,2004,79.1
Bolivia,BOL,2008,85.8
Bolivia,BOL,2012,90.1
Bolivia,BOL,2016,95.6
Bosnia and Herzegovina,BIH,2000,99.2
Bosnia and Herzegovina,BIH,2006,98.9
Bosnia and Herzegovina,BIH,2012,87
Botswana,BWA,1988,93
Botswana,BWA,2000,96.8
Botswana,BWA,2007,94.1
Brazil,BRA,1986,74
Brazil,BRA,1996,88.8
Brazil,BRA,2003,96.8
Brazil,BRA,2004,97.2
Brazil,BRA,2005,97.4
Brazil,BRA,2006,97.8
Brazil,BRA,2007,96.7
Brazil,BRA,2009,98.2
Brazil,BRA,2015,97.2
British Virgin Islands,VGB,1990,100
British Virgin Islands,VGB,2005,99
Brunei,BRN,1994,100
Brunei,BRN,2009,99
Burkina Faso,BFA,1993,60
Burkina Faso,BFA,1999,63
Burkina Faso,BFA,2003,73.4
Burkina Faso,BFA,2006,85
Burkina Faso,BFA,2010,94.3
Burkina Faso,BFA,2014,96.6
Burkina Faso,BFA,2015,92.8
Burkina Faso,BFA,2018,80.2
Burundi,BDI,1987,79
Burundi,BDI,2000,78
Burundi,BDI,2005,92.4
Burundi,BDI,2010,98.9
Burundi,BDI,2012,96
Burundi,BDI,2017,99.2
Cambodia,KHM,1998,34.3
Cambodia,KHM,2000,37.7
Cambodia,KHM,2005,69.3
Cambodia,KHM,2006,69.3
Cambodia,KHM,2010,89.1
Cambodia,KHM,2011,89.1
Cambodia,KHM,2014,95.3
Cameroon,CMR,1991,78.2
Cameroon,CMR,1998,78.8
Cameroon,CMR,2000,75.3
Cameroon,CMR,2004,83.3
Cameroon,CMR,2006,82
Cameroon,CMR,2011,84.7
Cameroon,CMR,2014,82.8
Cameroon,CMR,2018,87
Canada,CAN,2007,100
Cape Verde,CPV,1998,99.3
Cape Verde,CPV,2005,97.6
Cape Verde,CPV,2018,98.8
Central African Republic,CAF,1995,66.9
Central African Republic,CAF,2000,62
Central African Republic,CAF,2006,69.3
Central African Republic,CAF,2010,68.2
Central African Republic,CAF,2019,51.8
Chad,TCD,1997,24
Chad,TCD,2000,41.6
Chad,TCD,2004,38.9
Chad,TCD,2010,53.2
Chad,TCD,2015,54.7
Chile,CHL,1993,95
China,CHN,1992,69.7
China,CHN,1993,72.2
China,CHN,1994,76.3
China,CHN,1995,78.7
China,CHN,1996,83.7
China,CHN,1997,85.9
China,CHN,1998,87.1
China,CHN,1999,89.3
China,CHN,2000,89.4
China,CHN,2001,90.3
China,CHN,2002,90.1
China,CHN,2003,88.9
China,CHN,2004,89.7
China,CHN,2005,89.8
China,CHN,2006,89.7
China,CHN,2007,90.9
China,CHN,2008,91
China,CHN,2009,92.2
China,CHN,2010,94.1
China,CHN,2011,93.7
China,CHN,2012,95
China,CHN,2013,95.6
China,CHN,2014,96.2
China,CHN,2015,96.5
China,CHN,2016,96.6
China,CHN,2018,99.6
Colombia,COL,1986,76.6
Colombia,COL,1990,84.3
Colombia,COL,1995,85.8
