Entity,Code,Year,Pregnant women receiving prenatal care (%)
Benin,BEN,2001,81.1
Benin,BEN,2006,84.1
Benin,BEN,2012,83.5
Benin,BEN,2014,82.8
Benin,BEN,2018,83.2
Burkina Faso,BFA,2003,73.4
Burkina Faso,BFA,2006,85.0
Burkina Faso,BFA,2010,94.3
Burkina Faso,BFA,2014,96.6
Burkina Faso,BFA,2015,92.8
Burkina Faso,BFA,2018,80.2
Cote d'Ivoire,CIV,2000,87.6
Cote d'Ivoire,CIV,2005,87.3
Cote d'Ivoire,CIV,2006,84.8
Cote d'Ivoire,CIV,2012,90.6
Cote d'Ivoire,CIV,2016,93.2
Ghana,GHA,2003,91.9
Ghana,GHA,2006,92.1
Ghana,GHA,2007,96.1
Ghana,GHA,2008,90.1
Ghana,GHA,2011,96.4
Ghana,GHA,2014,90.5
Ghana,GHA,2016,97.5
Ghana,GHA,2017,97.6
Ghana,GHA,2018,97.1
Ghana,GHA,2019,97.4
Mali,MLI,2001,56.8
Mali,MLI,2006,70.4
Mali,MLI,2010,34.7
Mali,MLI,2013,74.2
Mali,MLI,2015,42.1
Mali,MLI,2018,79.5
Niger,NER,2000,41.0
Niger,NER,2006,46.1
Niger,NER,2012,82.8
Niger,NER,2021,83.5
Nigeria,NGA,2003,58.0
Nigeria,NGA,2008,57.7
Nigeria,NGA,2010,54.1
Nigeria,NGA,2011,66.2
Nigeria,NGA,2013,60.6
Nigeria,NGA,2015,62.6
Nigeria,NGA,2017,65.8
Nigeria,NGA,2018,67.0
Senegal,SEN,2000,79.0
Senegal,SEN,2005,87.4
Senegal,SEN,2006,91.4
Senegal,SEN,2009,94.0
Senegal,SEN,2011,93.3
Senegal,SEN,2013,94.5
Senegal,SEN,2014,96.2
Senegal,SEN,2015,95.0
Senegal,SEN,2016,95.9
Senegal,SEN,2017,97.1
Senegal,SEN,2018,97.7
Senegal,SEN,2019,97.6
Togo,TGO,2000,72.9
Togo,TGO,2003,84.8
Togo,TGO,2006,84.1
Togo,TGO,2010,71.6
Togo,TGO,2014,72.7
Togo,TGO,2017,77.9
